symbol,cluster,best_k
Ac,0,3
Ag,0,3
Al,0,3
Am,0,3
Ar,1,3
As,0,3
At,0,3
B,0,3
Ba,0,3
Be,0,3
Bh,0,3
Bi,0,3
Bk,0,3
Br,1,3
C,1,3
Cd,0,3
Ce,0,3
Cf,0,3
Cl,1,3
Cm,0,3
Co,0,3
Cr,1,3
Cu,1,3
Db,0,3
Dy,0,3
Er,0,3
Es,0,3
Eu,0,3
F,2,3
Fe,1,3
Fr,0,3
Ga,0,3
Gd,0,3
Ge,1,3
H,0,3
Hf,0,3
Hg,1,3
Ho,0,3
I,0,3
In,0,3
Ir,0,3
K,0,3
Kr,1,3
La,0,3
Li,0,3
Lr,0,3
Lu,0,3
Md,0,3
Mg,0,3
Mn,1,3
Mo,0,3
N,1,3
Na,2,3
Nb,0,3
Nd,0,3
Ni,0,3
No,0,3
Np,0,3
O,2,3
Os,0,3
Pa,0,3
Pb,0,3
Pd,0,3
Pm,0,3
Po,0,3
Pr,0,3
Pt,0,3
Pu,0,3
Ra,0,3
Rb,0,3
Re,0,3
Rf,0,3
Rh,0,3
Ru,0,3
S,1,3
Sb,0,3
Sc,0,3
Se,0,3
Sg,0,3
Si,1,3
Sm,0,3
Sn,0,3
Sr,0,3
Ta,0,3
Tb,0,3
Tc,0,3
Te,0,3
Th,0,3
Tl,0,3
Tm,0,3
U,0,3
V,0,3
W,0,3
Xe,1,3
Y,0,3
Zn,1,3
Zr,0,3
