symbol,cluster,best_k
Ag,1,2
Al,1,2
Am,1,2
Ar,1,2
At,1,2
B,1,2
Ba,1,2
Be,1,2
Bh,1,2
Bi,1,2
Bk,1,2
Br,1,2
C,1,2
Ca,1,2
Cd,1,2
Ce,1,2
Cf,1,2
Cl,1,2
Cm,1,2
Co,1,2
Cr,1,2
Cs,1,2
Cu,1,2
Dy,1,2
Er,1,2
Es,1,2
Eu,1,2
F,1,2
Fe,1,2
Fm,1,2
Gd,1,2
Ge,1,2
H,1,2
He,0,2
Hf,1,2
Hg,1,2
Ho,1,2
Hs,1,2
I,1,2
In,1,2
K,1,2
Kr,1,2
La,1,2
Li,1,2
Lu,1,2
Md,1,2
Mg,1,2
Mn,1,2
Mo,1,2
N,1,2
Na,0,2
Nb,1,2
Nd,1,2
Ne,0,2
Ni,1,2
No,1,2
Np,1,2
O,1,2
Os,1,2
P,1,2
Pa,1,2
Pb,1,2
Pd,1,2
Pm,1,2
Po,1,2
Pr,1,2
Pt,1,2
Ra,1,2
Rb,1,2
Rf,1,2
Rh,1,2
Rn,1,2
Ru,1,2
S,1,2
Sb,1,2
Sc,1,2
Se,1,2
Sg,1,2
Si,1,2
Sm,1,2
Sn,1,2
Sr,1,2
Ta,1,2
Tb,1,2
Tc,1,2
Te,1,2
Th,1,2
Ti,1,2
Tl,1,2
Tm,1,2
U,1,2
W,1,2
Xe,1,2
Y,1,2
Yb,1,2
Zn,1,2
Zr,1,2
