layer_feature,pearson_r,abs_pearson_r
signal_b07,0.13345766001667153,0.13345766001667153
signal_b32,-0.11442464551794103,0.11442464551794103
signal_b28,0.11196799723119054,0.11196799723119054
signal_b02,-0.07603100473075418,0.07603100473075418
signal_b29,0.0736073837085464,0.0736073837085464
signal_b23,0.07344856339723527,0.07344856339723527
signal_b37,-0.0725197496192754,0.0725197496192754
signal_b14,0.06705267456040931,0.06705267456040931
signal_b08,-0.06679243025448375,0.06679243025448375
signal_b27,-0.05766473574804802,0.05766473574804802
signal_b04,0.05424001581186778,0.05424001581186778
signal_b05,0.052410777831796866,0.052410777831796866
signal_b30,0.04971097238927048,0.04971097238927048
signal_b33,-0.04915034112917109,0.04915034112917109
signal_b09,-0.047317877377298125,0.047317877377298125
signal_b25,-0.04597092563688312,0.04597092563688312
signal_b03,0.04260445501267694,0.04260445501267694
signal_b06,-0.04166953877453101,0.04166953877453101
signal_b22,-0.039269820523389815,0.039269820523389815
signal_b26,-0.03587131923997491,0.03587131923997491
signal_b31,0.03517375923860154,0.03517375923860154
signal_b35,0.032466797132655066,0.032466797132655066
signal_b24,0.031848314418825706,0.031848314418825706
signal_b01,-0.028985628701642095,0.028985628701642095
signal_b12,-0.025547735099487164,0.025547735099487164
signal_b17,-0.025169997355853367,0.025169997355853367
signal_b18,0.02427905839692874,0.02427905839692874
signal_b15,0.02243507795402216,0.02243507795402216
signal_b21,0.022252895670335726,0.022252895670335726
signal_b13,-0.01804946499192124,0.01804946499192124
signal_b20,-0.01237333222084482,0.01237333222084482
signal_b34,-0.011322859635505592,0.011322859635505592
signal_b10,0.006849028518282245,0.006849028518282245
signal_b36,0.0025469296421257058,0.0025469296421257058
signal_b19,-0.0018868265140781386,0.0018868265140781386
signal_b16,-0.0015436389264909184,0.0015436389264909184
signal_b11,0.00020602643035223786,0.00020602643035223786
