layer_feature,pearson_r,abs_pearson_r
signal_b30,0.1365299378562494,0.1365299378562494
signal_b11,-0.09904292719329255,0.09904292719329255
signal_b37,-0.09149565184391163,0.09149565184391163
signal_b17,0.08648022349090687,0.08648022349090687
signal_b06,0.06624965393032654,0.06624965393032654
signal_b34,-0.06416006323734255,0.06416006323734255
signal_b35,-0.05748026525588444,0.05748026525588444
signal_b03,-0.05741307390084004,0.05741307390084004
signal_b05,-0.05401873930694151,0.05401873930694151
signal_b14,-0.05266071472170075,0.05266071472170075
signal_b23,0.052431206287551026,0.052431206287551026
signal_b26,0.050016788689915735,0.050016788689915735
signal_b20,-0.043737101339864484,0.043737101339864484
signal_b21,-0.03918922818921959,0.03918922818921959
signal_b07,-0.038767782102330846,0.038767782102330846
signal_b27,0.03756328652994925,0.03756328652994925
signal_b24,-0.037061282729222315,0.037061282729222315
signal_b01,0.03637689719139122,0.03637689719139122
signal_b32,0.03383014575702842,0.03383014575702842
signal_b09,0.0337298357963138,0.0337298357963138
signal_b33,0.03351103127067273,0.03351103127067273
signal_b25,-0.027217953937752982,0.027217953937752982
signal_b36,0.026508766518281775,0.026508766518281775
signal_b08,0.023299691658253175,0.023299691658253175
signal_b16,-0.02147073568450178,0.02147073568450178
signal_b22,-0.020796616903913715,0.020796616903913715
signal_b10,0.019494373991669624,0.019494373991669624
signal_b02,-0.018955116466190615,0.018955116466190615
signal_b31,-0.01698841307673469,0.01698841307673469
signal_b15,-0.01610800794416739,0.01610800794416739
signal_b04,-0.014862792654031896,0.014862792654031896
signal_b18,-0.009294298196116603,0.009294298196116603
signal_b12,0.007235382884311804,0.007235382884311804
signal_b28,-0.006266093201810377,0.006266093201810377
signal_b13,0.006025097016817764,0.006025097016817764
signal_b19,0.005703087912767152,0.005703087912767152
signal_b29,-0.003459117772077188,0.003459117772077188
