k,inertia,silhouette,status
2,10760.248012936918,0.027070819296801087,ok
3,10471.570912879495,0.02809458322046337,ok
4,10290.359257069376,0.024737188394068358,ok
5,10118.43594935883,0.02742630423424586,ok
6,9982.616082610504,0.022897130555539786,ok
7,9815.833219603817,0.02616059122596802,ok
8,9768.997871064625,0.024548794743131493,ok
9,9633.164894938023,0.025484467934420277,ok
10,9535.14092178072,0.020958576252494622,ok
11,9444.152458592293,0.020345795532003722,ok
12,9352.908572048707,0.02086085565503837,ok
