layer_feature,eta_squared
signal_b22,0.027106199279653794
signal_b11,0.018630559161313218
signal_b30,0.017885846884641936
signal_b10,0.016980628507034426
signal_b12,0.016491815889178644
signal_b15,0.014773176983617136
signal_b26,0.014356989661014764
signal_b19,0.014028925475560311
signal_b37,0.01347212948670837
signal_b28,0.013461203315470292
signal_b05,0.013228905356621717
signal_b07,0.0132032929331308
signal_b20,0.012384562920609757
signal_b16,0.012325375239313017
signal_b29,0.011403833699797377
signal_b09,0.011091981696456393
signal_b25,0.010038333166219634
signal_b13,0.009960693073634858
signal_b02,0.009534065856442557
signal_b18,0.009138426338080208
signal_b36,0.007648814448162865
signal_b06,0.00763854952505711
signal_b34,0.0074942027652353995
signal_b35,0.007435094505680119
signal_b24,0.007110380577217667
signal_b21,0.007091953569508492
signal_b33,0.006698093700726156
signal_b23,0.006037912472819171
signal_b01,0.005782439267510971
signal_b04,0.004800960479097209
signal_b03,0.004225407185018847
signal_b17,0.004083464418610167
signal_b14,0.0016582879806905494
signal_b31,0.0016334304655535768
signal_b32,0.0015742211234088023
signal_b08,0.0012787222332950393
signal_b27,0.0004463052852844619
